Place,Latitude,Longitude
Agra Fort,27.1795328,78.0143891
Bahai Temple,28.6180,77.1811
Brhadisvara Temple (Thanjavur),10.7851,79.1667
Dilwara Temples,24.3700,72.7700
Fatehpur Sikri,27.0917,77.5867
Golconda Fort,17.4028,78.4000
Gwalior Fort,26.2222,78.1828
Hawa Mahal,26.9220,75.7786
Jaisalmer Fort,26.9167,70.9000
Kamakhya Temple,26.1833,91.7667
Humayun's Tomb,28.5592,77.2264
Nalanda,25.1500,85.1700
Rashtrapati Bhavan,28.6128,77.2047
Se Cathedral,15.4917,73.9850
Sun Temple (Konark),20.2417,86.0833
Ajanta Caves,20.5044,75.7412
Ellora Caves,20.0179,75.1789
The Bara Imambara,26.8478,80.8467
Charminar,17.4027,78.4761
Buddhist Monuments at Sanchi,23.4500,78.0333
Gateway of India,18.9200,72.8300
Golden Temple (Sri Harimandir Sahib),31.3600,74.8700
Group of Monuments at Pattadakal,15.9900,75.8200
